License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1282255,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,KALIOPE CATERING LLC,THE BLACK WHALE,279 CITY ISLAND AVE,,BRONX,NY,10464,868643,12/29/2014,12/01/2016,11/30/2018,40.84626,-73.78642,"(40.84626, -73.78642)"
1283167,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TILILA BAR & GRILL INC,,3648 BAILEY AVE,,BRONX,NY,10463,831826,06/04/2015,06/04/2015,05/31/2017,40.88273,-73.89904,"(40.88273, -73.89904)"
1283324,LIQUOR STORE,222,L,New York,1,BRONX,CHEN LIQUOR STORE INC,YUNG HONG WINE & LIQUOR,385 BEDFORD PARK BLVD,,BRONX,NY,10458,854184,05/21/2015,05/21/2015,04/30/2018,40.86791,-73.88377,"(40.86791, -73.88377)"
1283719,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,JUST ONE TAVERN INC,,4279 KATONAH AVE,,BRONX,NY,10470,831716,05/21/2015,05/21/2015,04/30/2017,40.89783,-73.86755,"(40.89783, -73.86755)"
1284185,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,J&J BRONX NY LLC,JIMMY'S GRAND CAFE,1001 CASTLE HILL AVE,,BRONX,NY,10472,832332,10/06/2015,10/06/2015,09/30/2017,40.82774,-73.85039,"(40.82774, -73.85039)"
1284187,LIQUOR STORE,222,L,New York,1,BRONX,GWC LLC,NEW JEROME LIQUORS,3 E 176TH ST,,BRONX,NY,10453,854195,05/27/2015,05/27/2015,04/30/2018,40.84868,-73.91157,"(40.84868, -73.91157)"
1284300,LIQUOR STORE,222,L,New York,1,BRONX,CHAUNCY WINE & LIQUOR INC,,1454 E GUN HILL RD,,BRONX,NY,10469,854272,06/12/2015,06/12/2015,05/31/2018,40.86924,-73.844,"(40.86924, -73.844)"
1284323,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ESCAPE INTERNATIONAL CUISINE LLC,ESCAPE INTERNATIONAL CUISINE,1841 HOBART AVE,,BRONX,NY,10461,831897,06/22/2015,06/22/2015,05/31/2017,40.84812,-73.83149,"(40.84812, -73.83149)"
1284998,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,OUTBACK STEAKHOUSE OF FLORIDA LLC,OUTBACK STEAKHOUSE,270 BAYCHESTER AVE,,BRONX,NY,10475,846454,09/18/2015,09/18/2015,08/31/2017,40.86656,-73.83058,"(40.86656, -73.83058)"
1285175,LIQUOR STORE,222,L,New York,1,BRONX,KEILLY WINE & LIQUOR CORP,KEILLY WINE & LIQUOR CORP,2451 UNIVERSITY AVE,STORE 5,BRONX,NY,10468,854675,09/08/2015,09/08/2015,08/31/2018,40.86422,-73.9041,"(40.86422, -73.9041)"
1285582,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CASA RESTAURANT & LOUNGE INC,,3607 TREMONT AVE,,BRONX,NY,10465,852123,06/10/2015,11/10/2015,05/31/2017,40.82884,-73.82441,"(40.82884, -73.82441)"
1285716,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL,4760 3RD AVE,,BRONX,NY,10458,832129,08/19/2015,08/19/2015,07/31/2017,40.86028,-73.8909,"(40.86028, -73.8909)"
1285889,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ITALIA CAFE BRONX CORP,,3009 MIDDLETOWN RD,,BRONX,NY,10461,831885,06/17/2015,06/17/2015,05/31/2017,40.84415,-73.83009,"(40.84415, -73.83009)"
1286050,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BEAUTIFUL PARADISE RESTAURANT CORP,,2362 JEROME AVE,,BRONX,NY,10468,832172,08/28/2015,08/28/2015,07/31/2017,40.86031,-73.90259,"(40.86031, -73.90259)"
1286071,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,REMY 10608 CORP,REMY 10608,53 WESTCHESTER SQ,,BRONX,NY,10461,832166,08/27/2015,08/27/2015,07/31/2017,40.84172,-73.84343,"(40.84172, -73.84343)"
1286097,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LA POTENCIA RESTAURANT CORP,,1898 JEROME AVE,,BRONX,NY,10453,831985,07/14/2015,07/14/2015,06/30/2017,40.85015,-73.91052,"(40.85015, -73.91052)"
1286419,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LA TORRE RESTAURANT & BAR CORP,,610 E 183RD ST,,BRONX,NY,10458,831980,07/14/2015,07/14/2015,06/30/2017,40.8529,-73.88885,"(40.8529, -73.88885)"
1286505,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL,193 W 237TH ST,,BRONX,NY,10463,832011,07/21/2015,07/21/2015,06/30/2017,40.8843,-73.90061,"(40.8843, -73.90061)"
1286511,LIQUOR STORE,222,L,New York,1,BRONX,WILLIE B'S WINE & LIQUOR LLC,,1603 WILLIAMSBRIDGE RD,,BRONX,NY,10461,870849,11/12/2015,11/12/2015,10/31/2018,40.84706,-73.84944,"(40.84706, -73.84944)"
1286749,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,KHALLE BAR AND GRILL CORP,KHALLE BAR AND GRILL,3638 BAILEY AVE,,BRONX,NY,10463,839559,11/24/2015,11/24/2015,10/31/2017,40.88264,-73.89909,"(40.88264, -73.89909)"
1286809,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CITY NORTH GRILL CORP,RIVERDALE K GRILL HOUSE,5693 RIVERDALE AVE,,BRONX,NY,10471,852335,01/14/2016,02/17/2016,12/31/2017,40.90671,-73.90421,"(40.90671, -73.90421)"
1286953,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,L VIOLET RESTAURANT & LOUNGE INC,,535 E TREMONT AVE,STORE 5,BRONX,NY,10457,832331,10/06/2015,10/06/2015,09/30/2017,40.84674,-73.8958,"(40.84674, -73.8958)"
1287052,LIQUOR STORE,222,L,New York,1,BRONX,AGE LIQUORS INC,,1327 WEBSTER AVE,,BRONX,NY,10456,854651,09/01/2015,09/01/2015,08/31/2018,40.83505,-73.90821,"(40.83505, -73.90821)"
1287362,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CHELSEA CRAFT BREWING COMPANY LLC,CHELSEA CRAFT BREWING COMPANY,463 E 173RD ST,STORE 2,BRONX,NY,10457,839535,11/19/2015,11/19/2015,10/31/2017,40.84181,-73.90159,"(40.84181, -73.90159)"
1287390,LIQUOR STORE,222,L,New York,1,BRONX,4388 WHITE PLAINS LIQUORS INC,ALL SAVERS WINE & LIQUORS,4388 WHITE PLAINS RD,,BRONX,NY,10466,854808,10/09/2015,10/09/2015,09/30/2018,40.89801,-73.85427,"(40.89801, -73.85427)"
1287609,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,GRANGE TAVERN LLC,KEENAN'S BAR,5588 BROADWAY,,BRONX,NY,10463,832412,10/22/2015,10/22/2015,09/30/2017,40.87912,-73.90432,"(40.87912, -73.90432)"
1288253,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ACRI CAF? INC,,1315 COMMERCE AVE,,BRONX,NY,10461,861452,10/15/2015,07/18/2016,09/30/2017,40.83581,-73.84048,"(40.83581, -73.84048)"
1288293,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ETHICS BAR & LOUNGE INC,ETHICS BAR & LOUNGE,1246 E GUNHILL RD,,BRONX,NY,10469,832437,10/27/2015,10/27/2015,09/30/2017,40.87236,-73.85087,"(40.87236, -73.85087)"
1288336,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,138 WEST FORDHAM RD FOOD CORP,CELIA'S RESTAURANT BAR & GRILL,136-138 W FORDHAM RD,,BRONX,NY,10468,852357,09/24/2015,02/22/2016,08/31/2017,40.86275,-73.90704,"(40.86275, -73.90704)"
1288353,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,"LIVING ROOM II LLC, THE",THE LIVING ROOM II,125 SAINT ANNS AVE,,BRONX,NY,10454,832394,10/15/2015,10/15/2015,09/30/2017,40.80392,-73.91986,"(40.80392, -73.91986)"
1288405,LIQUOR STORE,222,L,New York,1,BRONX,THIRD LEVEL INC,UVA WINE & LIQUORS,2175A JEROME AVE,,BRONX,NY,10453,855414,02/16/2016,02/16/2016,01/31/2019,40.85654,-73.90509,"(40.85654, -73.90509)"
1288546,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EXITO BAR & LOUNGE CORP,EXITO CAFE,960 E 165TH ST,,BRONX,NY,10459,839638,12/11/2015,12/11/2015,11/30/2017,40.82388,-73.89483,"(40.82388, -73.89483)"
1288760,LIQUOR STORE,222,L,New York,1,BRONX,FAMA WINES & LIQUORS CORP,FAMA WINES & LIQUORS CORP,1706 WATSON AVE,,BRONX,NY,10472,863928,06/13/2016,06/13/2016,05/31/2019,40.8271,-73.86973,"(40.8271, -73.86973)"
1288985,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,SALOME LATIN CUISINE CORP,,2152 WESTCHESTER AVE,,BRONX,NY,10462,839670,12/17/2015,12/17/2015,11/30/2017,40.83395,-73.85266,"(40.83395, -73.85266)"
1288987,LIQUOR STORE,222,L,New York,1,BRONX,DANILO JOSE WINE & SPIRITS INC,,449 MORRIS PARK AVE,STORE #7,BRONX,NY,10460,863951,06/17/2016,06/17/2016,05/31/2019,40.84045,-73.87359,"(40.84045, -73.87359)"
1289060,LIQUOR STORE,222,L,New York,1,BRONX,FIESTA LIQUORS CORP,,2898 BAILEY AVE,,BRONX,NY,10463,855311,01/28/2016,01/28/2016,12/31/2018,40.87512,-73.90438,"(40.87512, -73.90438)"
1289465,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL,815 HUTCHINSON RIVER PKW,UNIT 1 & 2,BRONX,NY,10465,839527,11/18/2015,11/18/2015,10/31/2017,40.82316,-73.83648,"(40.82316, -73.83648)"
1289535,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,DIOSA'S RESTAURANT CORP,CARIDAD EXPRESS RESTAURANT,710 E 138TH ST,,BRONX,NY,10454,839865,02/10/2016,02/10/2016,01/31/2018,40.80481,-73.91311,"(40.80481, -73.91311)"
1289610,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,VISAR'S CORP,VALENTINA'S CAFE,621 CRESCENT AVE,AKA 2334 HUGHES AVE,BRONX,NY,10458,839770,01/19/2016,01/19/2016,12/31/2017,40.85403,-73.88774,"(40.85403, -73.88774)"
1289621,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MADDEN'S UPTOWN BAR AND GRILL INC,MADDEN'S UPTOWN BAR AND GRILL,5757 BROADWAY,,BRONX,NY,10463,839930,03/02/2016,03/02/2016,02/28/2018,40.88341,-73.90162,"(40.88341, -73.90162)"
1289664,LIQUOR STORE,222,L,New York,1,BRONX,LEGACY WINE & LIQUOR CORP,,1441 WEBSTER AVE,,BRONX,NY,10456,855059,12/02/2015,12/02/2015,11/30/2018,40.8374,-73.90692,"(40.8374, -73.90692)"
1289749,LIQUOR STORE,222,L,New York,1,BRONX,CALIENTE LIQUOR STORE CORP,,221 E TREMONT AVE,,BRONX,NY,10457,863628,03/25/2016,03/25/2016,02/28/2019,40.84918,-73.90486,"(40.84918, -73.90486)"
1290080,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL SABOR LATINO INC,,2968 JEROME AVE,,BRONX,NY,10468,840595,07/19/2016,07/19/2016,06/30/2018,40.87293,-73.88936,"(40.87293, -73.88936)"
1290134,LIQUOR STORE,222,L,New York,1,BRONX,ELITE WINE & SPIRIT LLC,ELITE WINE & SPIRIT,231A E 149TH ST,,BRONX,NY,10451,855112,12/11/2015,12/11/2015,11/30/2018,40.81782,-73.92401,"(40.81782, -73.92401)"
1290599,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MEXICAN DREAM BAR & GRILL CORP,EL SINALOENSE,132 W FORDHAM RD,,BRONX,NY,10468,839691,12/23/2015,12/23/2015,11/30/2017,40.86265,-73.90696,"(40.86265, -73.90696)"
1290752,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,SALSAZASON LLC,SALSA Y SAZON BAR REST,370 E 146TH ST,,BRONX,NY,10455,840020,03/22/2016,03/22/2016,02/28/2018,40.81429,-73.9198,"(40.81429, -73.9198)"
1290767,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,K CAFE CORP,,5684 RIVERDALE AVE,,BRONX,NY,10471,841170,12/01/2016,12/01/2016,11/30/2018,40.90647,-73.904,"(40.90647, -73.904)"
1290768,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,HARLEM GROUP DR CORP,BRONX DRAFTHOUSE,884 GERARD AVE,,BRONX,NY,10452,840104,04/11/2016,04/11/2016,03/31/2018,40.8279,-73.92463,"(40.8279, -73.92463)"
1290814,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CAMINITO SPORTS BAR AND BILLIARD INC,,393 E 198TH ST,,BRONX,NY,10459,839799,01/27/2016,01/27/2016,12/31/2017,40.86629,-73.88605,"(40.86629, -73.88605)"
1290958,LIQUOR STORE,222,L,New York,1,BRONX,S & Y LIQUORS INC,,3775 WHITE PLAINS RD,STORE 1,BRONX,NY,10467,855494,03/03/2016,03/03/2016,02/28/2019,40.88323,-73.86313,"(40.88323, -73.86313)"
1291231,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,NEW TACOPETO RESTAURANT & BAR CORP,,1250 MORRISON AVE,,BRONX,NY,10472,840244,05/11/2016,05/11/2016,04/30/2018,40.83103,-73.87484,"(40.83103, -73.87484)"
1291255,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CAPITOL INTERNATIONAL CORP,,590 GRAND CONCOURSE,,BRONX,NY,10451,839964,03/09/2016,03/09/2016,02/28/2018,40.81958,-73.92659,"(40.81958, -73.92659)"
1291307,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LA ESMERALDA RESTAURANT CORP,ESTRELLITA POBLANA,45 WESTCHESTER SQ,"STORE 2,3",BRONX,NY,10461,840063,03/31/2016,03/31/2016,02/28/2018,40.8422,-73.84381,"(40.8422, -73.84381)"
1291679,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,FIESTA DELUXE BAR & LOUNGE INC,GAIA LOUNGE,2341 HOFFMAN ST,,BRONX,NY,10458,840926,05/03/2016,09/29/2016,04/30/2018,40.855,-73.88943,"(40.855, -73.88943)"
1291752,LIQUOR STORE,222,L,New York,1,BRONX,WEBSTER LIQUOR STORE INC,WEBSTER WINE & LIQUOR STORE,2264 WEBSTER AVE,,BRONX,NY,10457,879227,05/24/2016,05/24/2016,04/30/2019,40.85579,-73.89565,"(40.85579, -73.89565)"
1291778,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,230 BROADWAY RESTAURANT CORP,PARRILLA LATINA,5523 BROADWAY,,BRONX,NY,10463,840094,04/06/2016,04/06/2016,03/31/2018,40.8771,-73.90637,"(40.8771, -73.90637)"
1291785,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TAPAS ITALIANO CORP,,2363 ARTHUR AVE,,BRONX,NY,10458,839978,03/11/2016,03/11/2016,02/28/2018,40.85486,-73.88832,"(40.85486, -73.88832)"
1292015,LIQUOR STORE,222,L,New York,1,BRONX,WHITE & BLACK WINES & LIQUOR CORP,WHITE & BLACK WINES & LIQUOR CORP,150 E 165TH ST,,BRONX,NY,10452,863773,05/05/2016,05/05/2016,04/30/2019,40.83099,-73.92121,"(40.83099, -73.92121)"
1292124,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LIKI LOUNGE INC,ESSENTIAL CUISINE,608 E FORDHAM RD,,BRONX,NY,10458,840106,04/11/2016,04/11/2016,03/31/2018,40.85816,-73.8848,"(40.85816, -73.8848)"
1292164,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,"DUMPLIN SHOP LLC,THE",,1530 E 222ND ST,,BRONX,NY,10469,840152,04/20/2016,04/20/2016,03/31/2018,40.8759,-73.83608,"(40.8759, -73.83608)"
1292335,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EXOTIC LOUNGE INC,CRUSH BAR AND LOUNGE,10 W MOUNT EDEN AVE,,BRONX,NY,10452,841127,11/21/2016,11/21/2016,10/31/2018,40.84444,-73.91514,"(40.84444, -73.91514)"
1292343,LIQUOR STORE,222,L,New York,1,BRONX,MORRIS PARK LIQUOR INC,,702 MORRIS PARK AVE,,BRONX,NY,10462,863898,06/06/2016,06/06/2016,05/31/2019,40.84514,-73.86577,"(40.84514, -73.86577)"
1292387,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,3841 EAST TREMONT UNCLE AL'S CORP,UNCLE AL'S SOUL FOOD KITCHEN,3841 E TREMONT AVE,,BRONX,NY,10465,839991,03/16/2016,03/16/2016,02/28/2018,40.82429,-73.81997,"(40.82429, -73.81997)"
1292624,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LEGEND'S BAR & RESTAURANT INC,LEGEND'S BAR & RESTAURANT,1735 E 172ND ST,,BRONX,NY,10472,840089,04/05/2016,04/05/2016,03/31/2018,40.83256,-73.86966,"(40.83256, -73.86966)"
1292794,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BYP CORPORATION,LA CUEVITA DE MACHO,260 BROOK AVE,STORE #3,BRONX,NY,10454,840183,04/27/2016,04/27/2016,03/31/2018,40.80801,-73.91877,"(40.80801, -73.91877)"
1292950,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,PROSPECT BILLIARDS CORP,PROSPECT BILLIARDS CAFE,671 PROSPECT AVE,,BRONX,NY,10455,840739,08/17/2016,08/17/2016,07/31/2018,40.81554,-73.90349,"(40.81554, -73.90349)"
1293057,LIQUOR STORE,222,L,New York,1,BRONX,SJS NYC INC,,741 E TREMONT AVE,,BRONX,NY,10457,863982,06/27/2016,06/27/2016,05/31/2019,40.84478,-73.88957,"(40.84478, -73.88957)"
1293180,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,KAIETEUR RESTAURANT 2 INC,KAIETEUR RESTAURANT K2 BAR& LOUNGE,4379 WHITE PLAINS RD,,BRONX,NY,10466,840263,05/13/2016,05/13/2016,04/30/2018,40.89785,-73.85496,"(40.89785, -73.85496)"
1293839,LIQUOR STORE,222,L,New York,1,BRONX,WOODYCREST LIQUOR STORE INC,,59 W 167TH ST,AKA 1180 WOODYCREST AVE,BRONX,NY,10452,864046,07/13/2016,07/13/2016,06/30/2019,40.83568,-73.92067,"(40.83568, -73.92067)"
1293942,LIQUOR STORE,222,L,New York,1,BRONX,C & S LIQUOR & WINES BRONX INC,C & S LIQUOR & WINE,1396 JEROME AVE,,BRONX,NY,10452,864018,07/06/2016,07/06/2016,06/30/2019,40.83994,-73.91767,"(40.83994, -73.91767)"
1293950,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LA VECINA CORP,LA VECINA CORP,1144 CASTLE HILL AVE,,BRONX,NY,10462,840958,10/06/2016,10/06/2016,09/30/2018,40.83087,-73.85072,"(40.83087, -73.85072)"
1294196,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TRUTH NYC LOUNGE LLC,,3855 BRONXWOOD AVE,,BRONX,NY,10469,840834,09/07/2016,09/07/2016,08/31/2018,40.88341,-73.85635,"(40.88341, -73.85635)"
1294212,LIQUOR STORE,222,L,New York,1,BRONX,TIGER BROTHER LIQUOR INC,,843A E 149TH ST,,BRONX,NY,10455,864135,08/04/2016,08/04/2016,07/31/2019,40.81236,-73.90459,"(40.81236, -73.90459)"
1294496,LIQUOR STORE,222,L,New York,1,BRONX,VINTAGE CELLAR INC,,3133 E TREMONT AVE,,BRONX,NY,10461,864739,12/08/2016,12/08/2016,11/30/2019,40.83805,-73.83466,"(40.83805, -73.83466)"
1294550,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,IFLAG CORP,VIKTORIA ITALIAN RESTAURANT,3114 3RD AVE,,BRONX,NY,10451,840657,07/29/2016,07/29/2016,06/30/2018,40.82202,-73.91144,"(40.82202, -73.91144)"
1294688,LIQUOR STORE,222,L,New York,1,BRONX,S & J LIQUORS CORP,,3491 BOSTON RD,,BRONX,NY,10468,864121,08/02/2016,08/02/2016,07/31/2019,40.87699,-73.84685,"(40.87699, -73.84685)"
1294832,LIQUOR STORE,222,L,New York,1,BRONX,MARIEL LIQUOR STORE INC,,1613 WESTCHESTER AVE,,BRONX,NY,10472,864830,12/30/2016,12/30/2016,11/30/2019,40.82954,-73.87499,"(40.82954, -73.87499)"
1294907,LIQUOR STORE,222,L,New York,1,BRONX,NEW DONG FANG WINE & LIQUOR INC,,3009 3RD AVE,STORE 2,BRONX,NY,10455,863987,06/29/2016,06/29/2016,05/31/2019,40.81938,-73.91385,"(40.81938, -73.91385)"
1295004,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,3524 JA LLC,BACCO,3524 JOHNSON AVE,,BRONX,NY,10463,840582,07/14/2016,07/14/2016,06/30/2018,40.8859,-73.90983,"(40.8859, -73.90983)"
1295224,LIQUOR STORE,222,L,New York,1,BRONX,R & L WINE & LIQUOR INC,,840 HUNTS POINT AVE,,BRONX,NY,10474,864089,07/25/2016,07/25/2016,06/30/2019,40.81758,-73.88847,"(40.81758, -73.88847)"
1295318,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,R&R 1579 BAKERY CORP,JACQUELINES LOUNGE,1201 MANOR AVE,,BRONX,NY,10472,840675,08/03/2016,08/03/2016,07/31/2018,40.82902,-73.87648,"(40.82902, -73.87648)"
1295537,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,D'KORA RESTAURANT LOUNGE INC,,894 E TREMONT AVE,,BRONX,NY,10460,840666,08/02/2016,08/02/2016,02/28/2018,40.84213,-73.88476,"(40.84213, -73.88476)"
1295584,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,561 EL BARRIO RESTAURANT INC,,561 SOUTHERN BLVD,STORE D,BRONX,NY,10455,840763,08/23/2016,08/23/2016,07/31/2018,40.81259,-73.90311,"(40.81259, -73.90311)"
1295623,LIQUOR STORE,222,L,New York,1,BRONX,IRIS & ANGUS LIQUOR STORE INC,,160 W 231ST ST,,BRONX,NY,10463,864202,08/18/2016,08/18/2016,07/31/2019,40.87817,-73.90317,"(40.87817, -73.90317)"
1295830,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,SRD 2918 CORP,BOULEVARD,2918 BRUCKNER BLVD,,BRONX,NY,10465,840972,10/12/2016,10/12/2016,09/30/2018,40.83323,-73.82739,"(40.83323, -73.82739)"
1295893,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL PARAISO RESTAURANT CORP,,231 BROOK AVE,,BRONX,NY,10454,840896,09/22/2016,09/22/2016,08/31/2018,40.80738,-73.91955,"(40.80738, -73.91955)"
1296143,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ZERO LOUNGE RESTAURANT INC,ZERO LOUNGE RESTAURANT,1472 OGDEN AVE,,BRONX,NY,10452,841171,12/01/2016,12/01/2016,11/30/2018,40.84403,-73.92349,"(40.84403, -73.92349)"
1296525,LIQUOR STORE,222,L,New York,1,BRONX,BENNETT LIQUOR INC,MOON WINE & LIQUOR,114 E 170TH ST,,BRONX,NY,10452,864328,09/19/2016,09/19/2016,05/31/2017,40.8392,-73.91542,"(40.8392, -73.91542)"
1296646,LIQUOR STORE,222,L,New York,1,BRONX,R & L SOUTH BRONX LIQUOR INC,,866 PROSPECT AVE,,BRONX,NY,10459,864487,10/19/2016,10/19/2016,09/30/2019,40.82014,-73.90123,"(40.82014, -73.90123)"
1296758,LIQUOR STORE,222,L,New York,1,BRONX,1005 BROWN STONE ENTERPRISES LLC,SOUNDVIEW WINE & LIQUORS,1005 SOUNDVIEW AVE,,BRONX,NY,10472,864593,11/04/2016,11/04/2016,10/31/2019,40.8253,-73.87049,"(40.8253, -73.87049)"
1296771,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,579 GIO INC,GIOVANNI,579 GRAND CONCOURSE,,BRONX,NY,10451,841148,11/29/2016,11/29/2016,10/31/2018,40.81941,-73.92714,"(40.81941, -73.92714)"
1296844,LIQUOR STORE,222,L,New York,1,BRONX,JAVIER WINES & LIQUORS INC,,273 E 165TH ST,,BRONX,NY,10456,864422,10/06/2016,10/06/2016,09/30/2019,40.82931,-73.91617,"(40.82931, -73.91617)"
1296933,LIQUOR STORE,222,L,New York,1,BRONX,C & W BELMONT WINES & LIQUORS CORP,,686 E 187TH ST,,BRONX,NY,10458,864498,10/20/2016,10/20/2016,09/30/2019,40.85412,-73.88481,"(40.85412, -73.88481)"
1297549,LIQUOR STORE,222,L,New York,1,BRONX,UNIVERSAL WINES & LIQUORS CORP,UNIVERSAL WINES & LIQUORS CORP,386 E 161ST ST,STORE 1,BRONX,NY,10451,864662,11/17/2016,11/17/2016,10/31/2019,40.82422,-73.91446,"(40.82422, -73.91446)"
1297623,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL SAZON DE OLGA RESTAURANT CORP,EL SAZON DE OLGA RESTAURANT CORP,1017 CASTLE HILL AVE,,BRONX,NY,10472,841224,12/14/2016,12/14/2016,11/30/2018,40.82819,-73.85037,"(40.82819, -73.85037)"
1297875,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL NUEVO TENAMPA RESTAURANTE INC,,2765 WEBSTER AVE,,BRONX,NY,10458,841144,11/23/2016,11/23/2016,10/31/2018,40.86585,-73.88638,"(40.86585, -73.88638)"
1297960,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CIA 228 LLC,PADDY'S ON THE ISLAND,288 CITY ISLAND AVE,,BRONX,NY,10464,866415,12/15/2016,12/15/2016,11/30/2018,40.84682,-73.78617,"(40.84682, -73.78617)"
1298019,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TEQUILA & MEZCAL NY CORP,,2434 E TREMONT AVE,,BRONX,NY,10461,841221,12/14/2016,12/14/2016,11/30/2018,40.84246,-73.85203,"(40.84246, -73.85203)"
